OC1=C2C(OC(C4=CC(O)=C(O)C=C4)=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](CO)O3)C2=O)=CC(O)=C1     Avicularin drwan
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O)O)O    pubchem 


O=C2C1=C(O)C(OC)=C(OC)C=C1OC(C3=CC=C(O)C=C3)=C2 Crismaritin drawn   
COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC    pubchem 
 


OC1=C(OC(C3=CC=CC=C3)=CC2=O)C2=C(O)C=C1  Primetin drawn
C1=CC=C(C=C1)C2=CC(=O)C3=C(C=CC(=C3O2)O)O pubchem 



OC1=C(C=O)C(O)=C(C=O)C(O)=C1[C@@H]([C@]2(C)[C@]([C@@]4([H])[C@@](C(C)4C)([H])CC[C@@](O)3C)([H])[C@@]3([H])CC2)CC(C)C  Macrocarpal A drawn
CC(C)C[C@@H](C1=C(C(=C(C(=C1O)C=O)O)C=O)O)[C@]2(CC[C@@H]3[C@@H]2[C@H]4[C@H](C4(C)C)CC[C@@]3(C)O)C    pubchem 


OC1=C(C(CC(C)C)=O)C(O)=C(CC2=C(O)C(C(CC(C)C)=O)=C(O)C(C=O)=C2O)C(O)=C1C  Jensenal  drawn



O[C@H]1[C@H](O)C[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=[C@]4[C@](C)3CC[C@]5([C@](O)=O)[C@H]4[C@@H](C)[C@H](C)CC5)[C@@](C)1CO Asiatic acid drawn
C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O  pubchem 


  Guavenoic acid 
C[C@@H]1[C@H]2C3=CCC4[C@]5(C[C@H]([C@@H]([C@@](C5[C@@H](C[C@]4([C@@]3(CC[C@]2(CCC1=C)C(=O)O)C)C)O)(C)CO)O)O)C  pubchem 


C[C@@](C)(O)[C@H]1CC=C(C(OC[C@H]2O[C@@H](OC3=CC(O)=C4C(OC(C)=CC4=O)=C3)[C@H](O)[C@@H](O)[C@@H]2O)=O)CC1  Cypellocarpin C drawn
CC1=CC(=O)C2=C(C=C(C=C2O1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)COC(=O)C4=CC[C@@H](CC4)C(C)(C)O)O)O)O)O    pubchem 



OC1=C(O)C=CC(/C=C/C(O[C@H](CC2=CC(O)=C(O)C=C2)C(O)=O)=O)=C1  Rosmarinic acid drawn
C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O  pubchem 
 

O=C(O4)C1=CC(O)=C(O)C3=C1C2=C4C(O)=C(O)C=C2C(O3)=O  Ellagic acid drawn
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O  pubchem 
